date,Prec [mm/day],T max [degC],T min [degC],rH mean [%], windspeed [m/s], sunshine [h/h]
1980-01-03, 4.6, -0.4, -5.7, 81, 2.36457, 0.660309
1980-01-04, 4.3, 0.2, -5.7, 94, 4.34398, 0
1980-01-05, 1.7, 3.6, -0.6, 91, 1.85302, 0.0505279
1980-01-06, 0.2, 3.8, 2, 89, 1.85302, 0
1980-01-07, 0.7, 2.7, 1.6, 95, 1.23914, 0
1980-01-08, 1.2, 2.3, 0.2, 90, 0.836, 0
1980-01-09, 0, 0.8, -0.6, 89, 1.23914, 0
1980-01-10, 0, 0.3, -2.4, 68, 2.91607, 0
1980-01-11, 0, -2.4, -6.5, 73, 2.91607, 0
1980-01-12, 1.3, -5.8, -8.3, 73, 4.34398, 0.0370157
1980-01-13, 9.9, -3.4, -9.6, 71, 2.36457, 0.774261
1980-01-14, 10, -4.1, -11.9, 79, 1.23914, 0.514066
1980-01-15, 0.2, -6, -8.6, 84, 1.23914, 0
1980-01-16, 0, -0.7, -7.9, 75, 4.34398, 0
1980-01-17, 1.8, 0.4, -5.6, 72, 2.36457, 0.77319
1980-01-18, 1.6, -1.9, -8.1, 81, 1.23914, 0.637369
1980-01-19, 0, -1.2, -10.6, 81, 0.489613, 0.371054
1980-01-20, 0, -2.5, -6.1, 86, 2.36457, 0
1980-01-21, 0, -0.9, -6.4, 89, 4.34398, 0
1980-01-22, 0, 4.9, -1.7, 84, 5.01161, 0.188717
1980-01-23, 0, 4.7, 1.7, 84, 3.70896, 0.0352048
1980-01-24, 0.3, 3.1, 1.7, 95, 0.836, 0
1980-01-25, 0.5, 4.8, 1.2, 82, 2.91607, 0.116131
1980-01-26, 3.9, 2.8, -0.1, 80, 3.70896, 0.254129
1980-01-27, 3.9, 2.7, -2.9, 76, 2.91607, 0.459561
1980-01-28, 1.1, -0.9, -8, 85, 1.85302, 0.148542
1980-01-29, 7.2, 1.3, -2.4, 86, 1.85302, 0
1980-01-30, 8, 7.1, 0.4, 83, 2.91607, 0
1980-01-31, 7.9, 9.7, 4.9, 80, 5.94989, 0
1980-02-01, 2.5, 8.5, -1.4, 77, 5.01161, 0.379849
1980-02-02, 2.2, 6, -1.4, 87, 5.01161, 0
1980-02-03, 0, 5.9, 3, 79, 5.01161, 0
1980-02-04, 6.1, 7.2, 2.4, 81, 4.34398, 0
1980-02-05, 2.3, 9.4, 2.4, 82, 4.34398, 0
1980-02-06, 5.7, 9.5, 5.8, 76, 4.34398, 0.260417
1980-02-07, 0.3, 8.5, 4.9, 83, 3.70896, 0.0862917
1980-02-08, 0.4, 9.3, 4, 80, 1.85302, 0.0214446
1980-02-09, 0, 9.6, 1.7, 79, 2.36457, 0.266456
1980-02-10, 0, 10.5, 2.8, 80, 1.23914, 0
1980-02-11, 0.1, 7.2, 0.4, 82, 3.70896, 0.0737146
1980-02-12, 0, 5.3, 1.2, 92, 1.23914, 0
1980-02-13, 0, 5.8, 3.2, 86, 0.836, 0
1980-02-14, 0, 3.8, 0, 91, 0.137369, 0
1980-02-15, 0, 5.9, -0.6, 80, 2.36457, 0
1980-02-16, 0, 7.5, 3.8, 91, 0.836, 0.010216
1980-02-17, 0, 7.8, 4.4, 71, 1.85302, 0.274159
1980-02-18, 0, 4.6, 1.9, 66, 1.85302, 0
1980-02-19, 0, 5.6, -1.8, 65, 2.36457, 0.872709
1980-02-20, 0, 8, -2.8, 71, 2.36457, 0.897325
1980-02-21, 0, 10, -3, 72, 1.85302, 0.802696
1980-02-22, 0, 8.6, -3, 75, 0.836, 0.787984
1980-02-23, 0, 8.5, -3.7, 75, 0.489613, 0.509091
1980-02-24, 6, 11.6, -0.6, 70, 0.836, 0.836872
1980-02-25, 4.1, 11, -2.8, 78, 0.137369, 0.735101
1980-02-26, 5.2, 12, -1.8, 65, 1.85302, 0.846046
1980-02-27, 4.5, 4.6, -1.2, 83, 3.70896, 0.0668949
1980-02-28, 0.2, 3, -1.4, 72, 2.36457, 0
1980-02-29, 0, 5.7, 1.9, 83, 4.34398, 0
1980-03-01, 0, 8.3, 4.7, 79, 2.91607, 0.0750887
1980-03-02, 0, 6.5, 2.2, 69, 3.70896, 0.0279909
1980-03-03, 0, 5.6, -0.9, 65, 3.70896, 0.723452
1980-03-04, 0, 2.9, -1.6, 83, 2.91607, 0
1980-03-05, 0, 5.7, -1.9, 82, 1.85302, 0.302477
1980-03-06, 0, 7, -2, 80, 5.94989, 0.0182244
1980-03-07, 0, 9.6, 5.3, 74, 5.01161, 0.362359
1980-03-08, 0, 10.3, 2, 69, 1.85302, 0.306212
1980-03-09, 0, 11, 1.9, 75, 3.70896, 0.367115
1980-03-10, 0, 7.5, 2, 83, 1.23914, 0.0445117
1980-03-11, 1, 6.7, 4.5, 91, 0.836, 0
1980-03-12, 0.5, 7.8, 3.8, 83, 2.36457, 0.0792044
1980-03-13, 0, 6.1, 3, 88, 2.91607, 0
1980-03-14, 0, 7.1, 2.4, 79, 2.91607, 0.295824
1980-03-15, 1.6, 7.6, 1.7, 77, 3.70896, 0.181683
1980-03-16, 1.8, 11.6, 1.6, 70, 1.23914, 0.602206
1980-03-17, 2.1, 10.3, 3.6, 79, 1.23914, 0
1980-03-18, 1.4, 10, 3.8, 70, 3.70896, 0.0595507
1980-03-19, 5.5, 4.7, -0.6, 76, 4.34398, 0
1980-03-20, 14.5, 1.1, -2.3, 72, 4.34398, 0.319715
1980-03-21, 3.3, 2.7, -2.6, 80, 1.85302, 0
1980-03-22, 8.6, 6.1, 0.3, 88, 1.85302, 0
1980-03-23, 4.6, 10.6, 0.6, 71, 2.91607, 0.339347
1980-03-24, 0.1, 7.4, 1, 80, 1.23914, 0
1980-03-25, 4.4, 12.9, 1.8, 68, 2.91607, 0.0982564
1980-03-26, 3, 10.2, 4.2, 79, 0.836, 0.285054
1980-03-27, 0.2, 13, 4, 89, 3.70896, 0
1980-03-28, 0.8, 16.8, 10.9, 77, 3.70896, 0.161172
1980-03-29, 3.7, 11.3, 5.9, 74, 5.01161, 0.256525
1980-03-30, 1.8, 9, 4.1, 80, 3.70896, 0.374812
1980-03-31, 6.2, 11.9, 1.1, 72, 2.36457, 0.269739
1980-04-01, 0, 14.7, 6.5, 85, 3.70896, 0.0710346
1980-04-02, 1.9, 12.4, 4.5, 76, 6.688, 0.164901
1980-04-03, 6.9, 7.8, 3.4, 71, 5.94989, 0.171878
1980-04-04, 1.1, 6.4, 1.7, 69, 2.91607, 0.248745
1980-04-05, 3.7, 8.3, 1.9, 64, 1.85302, 0.37125
1980-04-06, 32.3, 11.7, -0.6, 64, 1.85302, 0.900426
